,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
365,2021_10_25,-37.990837,-57.54555,https://departamento.mercadolibre.com.ar/MLA-903046277-frente-al-mar-exclusivo-monoambiente-_JM,Frente Al Mar Exclusivo Monoambiente,Departamento,6000.0,ARS,45,1
366,2021_10_25,-38.018238,-57.547394,https://departamento.mercadolibre.com.ar/MLA-903054156-dpto-2-ambientes-alquiler-temporario-_JM,Dpto. 2 Ambientes Alquiler Temporario,Departamento,50.0,ARS,64,2
367,2021_10_25,-37.97648,-57.54415,https://departamento.mercadolibre.com.ar/MLA-903115105-departamento-de-categoria-frente-a-la-playa-puerto-cardiel-_JM,Departamento  De Categoría Frente A La Playa Puerto Cardiel ,Departamento,4200.0,ARS,65,2
368,2021_10_25,-38.00026,-57.54326,https://departamento.mercadolibre.com.ar/MLA-903127116-mar-del-plata-ctro-1-amb-div-a-2-cuadras-mar-y-1-de-peatonal-_JM,Mar Del Plata Ctro 1 Amb Div A 2 Cuadras Mar Y 1 De Peatonal,Departamento,2500.0,ARS,28,1
369,2021_10_25,-37.986786,-57.551727,https://casa.mercadolibre.com.ar/MLA-903311777-alq-temporada-casadpto-3-dorm-hasta-8-personas-dueno-dct0-_JM,"Alq Temporada Casa/dpto 3 Dorm, Hasta 8 Personas, Dueño Dct0",Casa,13000.0,ARS,150,
370,2021_10_25,-38.09081,-57.54769,https://departamento.mercadolibre.com.ar/MLA-903325229-los-pinos-mar-del-plata-habitaciones-departamentos-cabanas-_JM,"Los Pinos Mar Del Plata, Habitaciones Departamentos Cabañas",Departamento,1500.0,ARS,1000,0
371,2021_10_25,-37.99833,-57.55095,https://departamento.mercadolibre.com.ar/MLA-903384162-departamento-centro-para-6-personas-3-amb-super-comodo-_JM,"Departamento Centro Para 6 Personas. 3 Amb, Súper Cómodo",Departamento,8000.0,ARS,60,3
372,2021_10_25,-38.09867,-57.558804,https://departamento.mercadolibre.com.ar/MLA-903544790-alquiler-en-mar-del-plata-_JM,Alquiler En Mar Del Plata,Departamento,2800.0,ARS,22,1
373,2021_10_25,-38.070465,-57.54691,https://departamento.mercadolibre.com.ar/MLA-903565774-punta-mogotes-dto-tipo-casa-frente-al-marparrillawificabl-_JM,Punta Mogotes Dto Tipo Casa Frente Al Mar.parrilla.wifi.cabl,Departamento,3500.0,ARS,120,7
374,2021_10_25,-38.0983,-57.55935,https://departamento.mercadolibre.com.ar/MLA-903674314-dptos-alquiler-edificio-alfar-mar-del-plata-playas-del-faro-_JM,Dptos Alquiler Edificio Alfar  Mar Del Plata Playas Del Faro,Departamento,3500.0,ARS,20,1
375,2021_10_25,-37.990517,-57.548874,https://departamento.mercadolibre.com.ar/MLA-903708126-varese-edificio-maral-39-dpto-2-amb-reciclado-y-equipado-_JM,Varese! Edificio Maral 39! Dpto 2 Amb. Reciclado Y Equipado!,Departamento,10500.0,ARS,60,2
376,2021_10_25,-38.090336,-57.54809,https://departamento.mercadolibre.com.ar/MLA-903797681--para-familias-hasta-4-pers-_JM,!!! Para Familias Hasta 4 Pers.!!!,Departamento,4000.0,ARS,35,3
377,2021_10_25,-38.09173,-57.544888,https://departamento.mercadolibre.com.ar/MLA-903814548-alquiler-temporario-en-mar-del-plata-2-amb-frente-al-mar-_JM,"Alquiler Temporario En Mar Del Plata, 2 Amb. Frente Al Mar.",Departamento,6500.0,ARS,35,2
