,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
91,2021_10_25,-31.411444,-64.19471,https://departamento.mercadolibre.com.ar/MLA-1107989889-oportunidad-de-renta-9-de-julio-832-_JM,Oportunidad De Renta! 9 De Julio 832,Departamento,36000.0,USD,39,2
92,2021_10_25,-31.413416,-64.16556,https://departamento.mercadolibre.com.ar/MLA-1108056899-departamento-en-alquiler-general-paz-dos-dormitorios-_JM,"Departamento  En Alquiler General Paz , Dos Dormitorios",Departamento,35000.0,ARS,0,3
93,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1108152496-laprida-66-entre-obispo-trejo-y-buenos-aires-alquiler-17000-_JM,Laprida 66 Entre Obispo Trejo Y Buenos Aires Alquiler $ 17.000,Departamento,17000.0,ARS,45,3
94,2021_10_25,-31.399254,-64.26438,https://departamento.mercadolibre.com.ar/MLA-1108202976-departamento-en-calle-avellaneda-_JM,Departamento En Calle Avellaneda,Departamento,20000.0,ARS,0,2
95,2021_10_25,-31.42509,-64.18973,https://departamento.mercadolibre.com.ar/MLA-1108292784-alq-dpto-1-dor-nva-cba-_JM,Alq Dpto  1 Dor  Nva Cba,Departamento,19000.0,ARS,0,-1
96,2021_10_25,-31.41422,-64.18772,https://departamento.mercadolibre.com.ar/MLA-1108300966-se-alquila-dpto-mono-ambiente-zona-centro-cba-_JM,Se Alquila Dpto Mono Ambiente - Zona Centro Cba,Departamento,12500.0,ARS,45,3
97,2021_10_25,-31.416054,-64.17935,https://departamento.mercadolibre.com.ar/MLA-1108436598-alquilo-piso-en-maipu-4-dormitorios-3-banos-_JM,"Alquilo Piso En Maipú 4 Dormitorios, 3 Baños",Departamento,35000.0,ARS,180,5
98,2021_10_25,-31.422857,-64.177666,https://departamento.mercadolibre.com.ar/MLA-1108486803-alquiler-dpto-2-dormitorios-amoblado-nueva-cordoba-_JM,Alquiler Dpto 2 Dormitorios Amoblado Nueva Cordoba,Departamento,35000.0,ARS,60,4
99,2021_10_25,-31.670677,-65.000854,https://departamento.mercadolibre.com.ar/MLA-1108511412-alquiler-temporario-deptos-hasta-5-personas-mina-clavero-_JM,Alquiler Temporario Deptos Hasta 5 Personas Mina Clavero ,Departamento,4500.0,ARS,50,2
100,2021_10_25,-31.419275,-64.50527,https://casa.mercadolibre.com.ar/MLA-1108551817-bello-departamento-a-estrenar-en-villa-carlos-paz-_JM,Bello Departamento A Estrenar En Villa Carlos Paz,Casa,7200.0,ARS,72,2
101,2021_10_25,-31.414663,-64.1733,https://departamento.mercadolibre.com.ar/MLA-1108553355-departamento-general-paz-excelente-amenities--_JM,Departamento General Paz! Excelente Amenities !,Departamento,25000.0,ARS,45,2
102,2021_10_25,-31.388546,-64.21135,https://departamento.mercadolibre.com.ar/MLA-1108597515-loft-en-alquiler-barrio-villa-cabrera-_JM,Loft En Alquiler - Barrio Villa Cabrera,Departamento,30000.0,ARS,70,2
103,2021_10_25,-31.35492,-64.31286,https://departamento.mercadolibre.com.ar/MLA-1108603456-duplex-2-dormitorios-en-alquiler-cuesta-colorada-_JM,Duplex 2 Dormitorios En Alquiler Cuesta Colorada,Departamento,28000.0,ARS,45,3
104,2021_10_25,-31.355852,-64.327995,https://departamento.mercadolibre.com.ar/MLA-1108603987-casa-en-alquiler-la-cuesta-_JM,Casa En Alquiler - La Cuesta,Departamento,70000.0,ARS,250,5
105,2021_10_25,-31.42286,-64.177666,https://departamento.mercadolibre.com.ar/MLA-1108632511-hermoso-departamento-amoblado-en-nva-cba-_JM,Hermoso Departamento Amoblado En Nva Cba ,Departamento,35000.0,ARS,65,5
106,2021_10_25,-31.42414,-64.179436,https://departamento.mercadolibre.com.ar/MLA-1108639569-nueva-cordoba-1-dormitorio-_JM,Nueva Córdoba 1 Dormitorio,Departamento,19000.0,ARS,42,2
107,2021_10_25,-31.439457,-64.11665,https://casa.mercadolibre.com.ar/MLA-1108645098-casa-a-la-venta-en-b-1-de-mayo-con-4-departamentos-alquilados-_JM,Casa A La Venta En Bº 1º De Mayo Con 4 Departamentos Alquilados,Casa,52000.0,USD,525,10
108,2021_10_25,-31.094007,-64.484375,https://departamento.mercadolibre.com.ar/MLA-1108655174-alquiler-temporario-dpto-economico-la-falda-_JM,Alquiler Temporario Dpto Económico  La Falda,Departamento,3000.0,ARS,300,1
